UNIQUE_ID,HOTLINK,TRANSPARENT,PROJ_NO,NAME,PROJ_TYPE,STATUS,PROJ_MGR,CONSULTANT,TASK_ORD_NO,LOCATION_NAME,MAIN_ST,CROSS_ST,ST_RANGE_FROM,ST_RANGE_TO,FIRST_WARD,SECOND_WARD,START_DATE,END_DATE,TOT_BUDGET,COMMENTS_NAME,RECORD_LAST_MODIFIED,SPECIAL_NOTE,STATUS_021805,GIS_ID,SHAPE.LEN,SHAPE.AREA,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID,CREATED,EDITED
,,,,Judiciary Square Security and Transportation Study,Transportation Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_58,0,0,,57,{237358F3-9CD3-4E19-8C24-029294D78CFC},,
,,,,Minnesotta Avenue and Grant Street Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_59,0,0,,58,{ACF9765D-9F5A-41EC-BCEC-8D1A4C7B6496},,
,,,,Marshall Heights  Street Scape Study,Streetscape Study,Ongoing,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_60,0,0,,59,{44C22AC8-4473-4022-BD4E-EAD2B192F775},,
,,,,Minnesota Avenue Streetscape Study,Streetscape Study,Ongoing,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_61,0,0,,60,{7334E14A-7DCC-4890-8EC4-D48E3AA9076D},,
,,,,Benning Road/Minnesota Avenue transportation Study,Transportation Study,Proposed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_62,0,0,,61,{2FCCADC1-A65B-475B-87A3-031BE6B4C45B},,
2002.0,tr bridge study,40,,TR Bridge Study,Transportation Study,Ongoing,Heather Brophy,,,,,,,,2.0,,,,,,,,Ongoing,TranspStudyArea_63,0,0,,62,{8E2027F6-DA6D-4D3C-A22F-678B99D384B4},,
,,,,East Capitol Street and Central Avenue Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_64,0,0,,63,{D21224C1-2AA1-4ED4-9F96-B3084D7C153F},,
6001.0,s capitol st,40,,South Capitol Street TS,Transportation Study, ,Rachel MacCleery,"Parsons, Brinckerhoff",,South Capitol St from Independence Ave to Suitland Pkwy and Washington Ave,,,,,6.0,8.0,1025496000000,1051761600000,500000.0,Transportation Study to be coordinated with NCPC/OP land use study. Funding Source: SPEC,1043775996000,Changed By Faisal Haamed,IPMA,TranspStudyArea_65,0,0,,64,{48DADA65-F408-4553-8F9A-A05EEF11C732},,
0.0, ,, ,South Capitol Street Corridor TS,Transportation Study,Study Completed,Kathleen Penney,Parsons Brinckerhoff,,, , ,,,0.0,,-2209143600000,-2209143600000,0.0,,,,Ongoing-IPMA,TranspStudyArea_66,0,0,,65,{43DFD2F1-63FD-4B66-BF8B-1D76752F5EF3},,
6003.0,4th st sw,40,,4th St. S.W./Waterside Mall TS,Transportation Study,Study Completed,Rachel MacCleery,"DMJM+HARRIS, Inc (AE Services)",3.0,4th St to 7th St SW From Independence Ave to M St,,,,,6.0,,1024891200000,1036126800000,177614.0,Abi Lerner is the DMJM+HARRIS Project Coordinator,1043775996000,,Study Completed,TranspStudyArea_67,0,0,,66,{2A95B703-574D-4259-BCBA-994D6DB4AC54},,
0.0, ,, ,Middle Anacostia River Crossings TS,Transportation Study,Deleted,AWI-Faisal Hameed/Kathleen Pen,KCI,,, , ,,,0.0,,-2209143600000,-2209143600000,0.0,,,,Ongoing-IPMA,TranspStudyArea_68,0,0,,67,{74093A01-B2CC-4989-8515-A6B81EA9A136},,
2009.0,lenfant,40,,L'enfant Promenade/ Banneker Circle Study,Transportation Study,Study Completed,Heather Brophy,Parsons Brinkerhoff and HNTB,,"Independence Ave on North, 9th St on the East, Water St/Maine Ave on the South, 12th St on the West,",,,,,2.0,,,1072846800000,,,1044639689000,,Study Completed,TranspStudyArea_69,0,0,,68,{54761F1A-1579-45B5-93EE-A45344D4B210},,
6004.0, ,40,,Eastern Market SS,Streetscape Study,Proposed,Rachel MacCleery,,,,,,,,6.0,,,,,,,,Proposed,TranspStudyArea_70,0,0,,69,{C644525B-C5F5-482E-A753-CBE35BDD4E57},,
601.0,601,40,,Barracks Row TS,Transportation Study,Study Completed,Rachel MacCleery,"DMJM+HARRIS, Inc",31.0,8th St From Pennsylvania Ave to M St SE,8th St SE,,Pennsylvania Ave SE,M St SE,6.0,,984027600000,996465600000,314000.0,,1044311314000,,Project Completed,TranspStudyArea_71,0,0,,70,{EF32C837-6F4A-4D12-871F-57D5D3949153},,
,,,,Middle Anacostia Transportation Study,Transportation Study,Deleted,,,,,,,,,,,,,,,,Changed By Faisal Haamed,Ongoing-IPMA,TranspStudyArea_72,0,0,,71,{D78D1FDA-C04D-4008-9330-84E2753ACFD0},,
7001.0, penn se,40,,Pennsylvania Ave SE TS,Transportation Study,Study Completed,Ronald Mitchell,,,Pennsylvania Ave from Sousa Bridge to Southern Ave,,,,,7.0,,1033444800000,1046494800000,250000.0,Scope of work completed. DDOT will negotiate with a contractor and begin study in Oct. (to be determined). Funding Source: ED0-08,1043786456000,,Study Completed,TranspStudyArea_73,0,0,,72,{EBA86793-2780-4BE8-940C-E65B903CF267},,
8001.0, ,40,,Anacostia Gateway TS,Transportation Study,Study Completed,Charles Thomas,,,To be determined,,,,,8.0,,1038718800000,1054440000000,250000.0,Scope of work to be developed Nov 2002.  Funding Source: ED0-02,1044640890000,,Study Completed,TranspStudyArea_74,0,0,,73,{336B2C18-79B7-4E48-9773-A487E30C3EAD},,
,,,,Cluster 37 Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_75,0,0,,74,{86865D55-746E-4F6E-A8BA-EC386442A6B7},,
,,,,Skyland Street Streetscape Study,Streetscape Study,Study Completed,,,,,,,,,,,,,,,,,Ongoing,TranspStudyArea_76,0,0,,75,{F273D465-393F-4E2D-8C0A-B7EBEF769EB0},,
,,,,Hillcrest Traffic Calming Study,Traffic Calming Study,Study Completed,,,,,,,,,,,,,,,,,Study Completed,TranspStudyArea_77,0,0,,76,{7BC6CDE3-287A-4BF2-850C-FB0E1E64C463},,
,,,,Southern Avenue Transportation and Streetscape Study,Transportation Study,Proposed,,,,,,,,,,,,,,,,,Proposed,TranspStudyArea_1,0,0,,77,{2B6F084F-3BD3-4836-9C80-B721E7254AC1},,
