OBJECTID,COUNTY_NAME,ROAD_NAME,OWNERSHIP
570678,WASHINGTON,OTOOLE DR,COUNTY
570710,WASHINGTON,FEDERAL LOOKOUT RD,COUNTY
570738,WASHINGTON,NORTHCREST RD,COUNTY
570772,WASHINGTON,OAKMONT DR,COUNTY
570925,WASHINGTON,KING RD,COUNTY
570963,WASHINGTON,BUSINESS PKWY,COUNTY
571113,WASHINGTON,WOODSTOCK LA,COUNTY
571125,WASHINGTON,PRINCETON PL,COUNTY
571171,WASHINGTON,STAYMAN DR,COUNTY
571243,WASHINGTON,SUMMERLIN DR,COUNTY
571299,WASHINGTON,CRISTINS CIR,COUNTY
571335,WASHINGTON,APPALACHIAN CT,COUNTY
571340,WASHINGTON,RISER RD,COUNTY
571475,WASHINGTON,GREENBERRY RD,COUNTY
571510,WASHINGTON,FERGUSSON LA,COUNTY
571564,WASHINGTON,OLD HARPERS FERRY RD,COUNTY
571695,WASHINGTON,MAPLE RIDGE,COUNTY
571717,WASHINGTON,WILDERNESS RUN RD,COUNTY
571718,WASHINGTON,GOLDEN ANGEL COURT,COUNTY
571755,WASHINGTON,DELLWYN DR,COUNTY
571855,WASHINGTON,POPLAR GROVE RD,COUNTY
571998,WASHINGTON,LIMEKILN RD,COUNTY
572145,WASHINGTON,GRUMBACKER LA,COUNTY
572235,WASHINGTON,TECHNOLOGY BLVD,COUNTY
572239,WASHINGTON,KEMPER DR,COUNTY
572359,WASHINGTON,ANDERSON DR,COUNTY
572444,WASHINGTON,IVY WAY,COUNTY
572485,WASHINGTON,THORNHILL DR,COUNTY
572582,WASHINGTON,BINKLEY ST,COUNTY
572584,WASHINGTON,ELLIOTT PKWY,COUNTY
572585,WASHINGTON,WESTBURY CT,COUNTY
572704,WASHINGTON,MARBLE HILL CT,COUNTY
572710,WASHINGTON,INTERVAL RD,COUNTY
572745,WASHINGTON,ARTHUR LA,COUNTY
572848,WASHINGTON,SUNSET STRIP,COUNTY
572912,WASHINGTON,APPLETOWN RD,COUNTY
572991,WASHINGTON,MOUNTAIN MEADOW DR,COUNTY
573091,WASHINGTON,AIR PARK RD,COUNTY
573230,WASHINGTON,ERNESTVILLE RD,COUNTY
573437,WASHINGTON,HORSESHOE LA,COUNTY
573579,WASHINGTON,JOHN BROWN LA,COUNTY
573633,WASHINGTON,EDWARD DOUB RD,COUNTY
573707,WASHINGTON,RUBLE RD,COUNTY
573737,WASHINGTON,TROY LA,COUNTY
