OBJECTID,CommunityName,IncorporationType,IncorporationYear,LatestChangeYear,SourceNote,IsActive,GISSqMi,last_edited_user,last_edited_date,created_user,created_date,NameAlt,CommunityID,Shape.STArea(),Shape.STLength()
45,Chuathbaluk,2nd Class City,1975,1975,,1,6.2,,,,,,{493BC9A8-7869-476D-9319-B88C76EB388A},16132978.267451376,18451.35204887312
46,Ekwok,2nd Class City,1974,1974,,1,18.0,,,,,,{FAF5958B-8A56-4E28-B3B1-66B772A5A166},46619906.44181701,29003.613163522095
47,Eek,2nd Class City,1970,1970,,1,0.7,,,,,,{59543E82-DA08-4E48-BAA3-B0E7C0FF4767},1921115.4432441,6372.3901292324545
48,Port Heiden,2nd Class City,1972,1972,,1,47.4,,,,,,{58FEECD6-E89F-44AF-B707-E2BF0B91605A},122664537.4894987,53934.7447208241
49,Emmonak,2nd Class City,1964,1964,,1,5.9,,,,,,{6E142FF4-3A51-4D60-9F7A-8B65E66A9133},15305825.27323308,15939.293809916539
51,Seward,Home Rule City,1912,1977,,1,21.9,,,,,,{86E9E60C-762A-4D26-A7CC-57DC74916D5B},56658268.19367754,36533.611315893664
54,Anderson,2nd Class City,1962,1976,,1,45.0,,,,,,{3999FA6E-F8E0-4528-9406-C991F8BB8C52},116522931.20591857,49574.00069238838
55,Kobuk,2nd Class City,1973,1973,,1,16.0,,,,,,{319107E2-FB9A-474B-8237-6A8CFF382E09},41440668.17240842,25750.050393523463
56,Clark's Point,2nd Class City,1971,1971,,1,4.1,,,,,,{16FFACBB-CCBD-4A00-829F-F89904105FD5},10601187.11769594,13687.03164561494
60,Savoonga,2nd Class City,1969,1969,,1,5.9,,,,,,{72DFDB08-C634-4DC3-BA13-8C7F1E889436},15205169.67494567,24913.31502613131
61,Bettles,2nd Class City,1985,1985,,1,1.6,,,,,,{C4674250-987C-40CD-B550-D246607343D4},4108380.58903974,11628.059250241322
65,Unalaska,1st Class City,1942,1986,,1,211.0,,,,,,{F020D8C7-7FD0-4AFE-85DC-43D1C0A0B5F0},546380525.3074656,104726.57681142153
66,Nuiqsut,2nd Class City,1975,1976,,1,8.9,,,,,,{E24B0E44-1B59-4C79-8A8F-F7A2113EFF2F},23018242.768604197,19192.30454447937
67,Dillingham,1st Class City,1963,1988,,1,35.9,,,,,,{08E18522-8DAC-4DFC-975E-26751FE81958},93045846.19150645,41199.36335700146
68,Kaltag,2nd Class City,1969,1969,,1,27.6,,,,,,{5790AC9E-408E-42C0-BDC7-490DB0451EAD},71366474.2714133,33963.84395937883
69,Craig,1st Class City,1922,1973,,1,9.5,,,,,,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B},24621179.35329522,26405.48264173259
72,Saint Michael,2nd Class City,1969,1969,,1,28.1,,,,,,{9BB36ABC-66B2-4E89-99FA-C2128E2AFCC9},72690921.85308562,51887.13187086971
73,Newhalen,2nd Class City,1971,1971,,1,8.5,,,,,,{510DC86B-4E8B-482F-9372-E63914E50E7D},22011500.08249125,20902.89055096758
74,Manokotak,2nd Class City,1970,2017,,1,108.4,,,,,,{3DF92237-DB7B-4CEB-88DE-A1481F4072AD},280779030.7479561,199480.73734643587
75,Grayling,2nd Class City,1969,1969,,1,11.2,,,,,,{DD04D244-B150-4D0C-83D9-26AAE567CC97},29133701.84655781,22291.01349595342
