OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
46,Food,Jammin Crepes,20 Nassau Street,Nassau,Princeton,Mercer,"20 Nassau Street, Princeton, NJ, 08542",https://www.jammincrepes.com/,-74.66290723,40.34902301,b77985f5-4a95-4067-96b9-2040c2d0c623
47,Shopping,jaZams,25 Palmer Square East,Palmer,Princeton,Mercer,"25 Palmer Square, Princeton, NJ, 08542",https://jazams.com/,-74.66101301,40.35085179,ae1fcd71-1d5e-42ec-9dcf-401568ba0f7e
48,Food,Kristine's,51 Witherspoon Street,Witherspoon,Princeton,Mercer,"51 Witherspoon Street, Princeton, NJ, 08542",https://www.kristinesprinceton.com/,-74.66002091,40.35127082,290a4a9b-b1f1-4f3d-87e7-d9648750ead1
49,Food,La Mezaluna,25 Witherspoon Street,Witherspoon,Princeton,Mercer,"25 Witherspoon Street, Princeton, NJ, 08542",https://www.lamezzaluna.com/,-74.6600583,40.35051851,e9b2a126-03e2-4fac-bd34-49d7450f6170
50,Shopping,Labyrinth Books,122 Nassau Street,Nassau,Princeton,Mercer,"122 Nassau Street, Princeton, NJ, 08542",https://www.labyrinthbooks.com/,-74.658879,40.350077999999996,32a11406-c7a1-4dba-983c-9ea0aa12ca46
51,Food,Lillipies Bakery,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://lillipies.com/,-74.65140635,40.36319438,648a3c62-5a10-4fa3-9a14-da3f370d695e
52,Food,Milk and Cookies,20 Nassau Street,Nassau,Princeton,Mercer,"20 Nassau Street, Princeton, NJ, 08542",https://milkncookies.online/,-74.66284282,40.34907883,76a78957-7b8d-4876-a63c-2178bc32627e
53,Shopping,Princeton Corkscrew Wine Shop,49 Hulfish Street,Hulfish,Princeton,Mercer,"49 Hulfish Street, Princeton, NJ, 08542",https://www.princetoncorkscrew.com/,-74.66274686,40.3506528,a49885b7-d9f0-4fda-853d-3ad8d975a42f
54,Food,Nassau Street Seafood,256 Nassau Street,Nassau,Princeton,Mercer,"256 Nassau Street, Princeton, NJ, 08542",https://www.nassaustreetseafood.com/,-74.65114761,40.35254639,641b8cc7-f425-4a21-8481-76024a1c5c7d
55,Food,Nomad Pizza,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",http://www.nomadpizzaco.com/,-74.65218628,40.36352582,c179c163-1227-40b3-ad23-bb0b5edd9e19
56,Shopping,Princeton Farmer's Market,172 Alexander Street,Alexander,Princeton,Mercer,"172 Alexander Street, Princeton, NJ, 08540",https://www.princetonfarmersmarket.com/,-74.65881428,40.34090066,18974f95-4d39-4f8e-8bae-59af27b20b26
57,Attraction,Princeton Garden Theatre,160 Nassau Street,Nassau,Princeton,Mercer,"160 Nassau Street, Princeton, NJ, 08542",https://princetongardentheatre.org/,-74.657484,40.35042,f2050731-6034-4b91-bda9-feaead45c3d8
58,Shopping,Princeton Record Exchange,20 South Tulane Street,Tulane,Princeton,Mercer,"20 South Tulane Street, Princeton, NJ, 08542",http://www.prex.com/,-74.65884299999999,40.350663,b513f2b4-a21b-42fd-9b72-56db0161e0cb
59,Café,Small World Coffee,14 Witherspoon Street,Witherspoon,Princeton,Mercer,"14 Witherspoon Street, Princeton, NJ, 08542",https://smallworldcoffee.com/,-74.66012099999999,40.350141,3ff56ef6-574e-4214-bf9c-97a9bd639c05
60,Café,Small World Coffee,254 Nassau Street,Nassau,Princeton,Mercer,"254 Nassau Street, Princeton, NJ, 08542",https://smallworldcoffee.com/,-74.65108821,40.35241313,551eb853-b66c-4f5d-b102-2a625bf0ecaa
61,Food,The Bent Spoon,35 Palmer Square,Palmer,Princeton,Mercer,"35 Palmer Square, Princeton, NJ, 08542",https://www.thebentspoon.com/,-74.66195017,40.34990836,63bfbbb1-92c2-4608-8ba5-208801c2a7b5
62,Attraction,Tranquility Day Spa,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://www.tranquilitydenmassage.com/,-74.65102931,40.36397898,ec08c4f6-b0cd-4fba-a32c-e291e3125599
63,Food,Nassau Inn,10 Palmer Square,Palmer,Princeton,Mercer,"Palmer Square, Princeton, NJ, 08540",https://nassauinn.com/,-74.66096097,40.35015381,51e07777-43f0-47bf-af1c-9566f2770485
64,Food,Witherspoon Grill,57 Witherspoon Street,Witherspoon,Princeton,Mercer,"57 Witherspoon Street, Princeton, NJ, 08542",https://www.witherspoongrill.com/,-74.6600818,40.35143651,f8f7f859-1a20-47b4-9d81-4e0cfa575198
65,Food,Winberie's,1 Palmer Square,Palmer,Princeton,Mercer,"1 Palmer Square West, Princeton, NJ, 08542",https://princeton.winberies.com/,-74.66096771,40.34992605,5ce7e3e7-74a3-4836-89bc-230939c31cc3
66,Food,Princton Soup and Sandwich,30 Palmer Sqaure East,Palmer,Princeton,Mercer,"Palmer Square East, Princeton, NJ, 08542",https://www.princetonsoupandsandwich.com/,-74.66128777,40.35086482,03240701-4aa5-421c-9fd3-994127acd07f
67,Shopping,Castello Boutique,48 Broad Street,Broad,Red Bank,Monmouth,"48 Broad Street, Red Bank, NJ, 07701",https://castellostore.com/,-74.06559899999999,40.350519,fa7fd91d-d4b0-45ae-b474-848d935bb8db
68,Food,26 West on the Navesink,26 West Front Street,Front,Red Bank,Monmouth,"26 West Front Street, Red Bank, NJ, 07701",https://26westonthenavesink.com/,-74.066535,40.352193,4e7cb0ec-1605-431d-8f0e-0fa7e45abee9
69,Food,Bistro Red Bank,14 Broad Street,Broad,Red Bank,Monmouth,"14 Broad Street, Red Bank, NJ, 07701",https://thebistroatredbank.com/,-74.065635,40.351625999999996,695f255b-89b0-4634-85a0-8ef61616b76a
70,Attraction,Count Basie Center for the Arts,99 Monmouth Street,Monmouth,Red Bank,Monmouth,"99 Monmouth Street, Red Bank, NJ, 07701",https://thebasie.org/,-74.07018,40.348917,2dd95e9b-4c6d-459a-9a67-e5cff8adfda9
71,Shopping,Down to the Felt,182 West Front Street,Front,Red Bank,Monmouth,"182 West Front Street, Red Bank, NJ, 07701",http://beta.downtothefeltonline.com/,-74.07377625,40.35098099,f9208764-5ec0-43c7-9e3c-880e591f2955
72,Attraction,Earth Spirit New Age,18 Broad Street,Broad,Red Bank,Monmouth,"18 Broad Street, Red Bank, NJ, 07701",http://www.earthspiritnewage.com/,-74.06562973,40.35152208,c660da7b-63e6-4f30-a523-bdf1a5c3a47d
73,Shopping,Fins and Feathers,134 Monmouth Street,Monmouth,Red Bank,Monmouth,"134 Monmouth Street, Red Bank, NJ, 07701",https://finsandfeatherspetsandgrooming.com/,-74.071998,40.349205,92f94f5d-da7b-4f6c-b8fe-a3689837346d
74,Food,JBJ Soul Kitchen,207 Monmouth Street,Monmouth,Red Bank,Monmouth,"207 Monmouth Street, Red Bank, NJ, 07701",https://jbjsoulkitchen.org/,-74.0756745,40.348161,113d59b0-e788-45a2-bd20-d25254adfd19
75,Food,Good Life Organic Kitchen,60 Broad Street,Broad,Red Bank,Monmouth,"60 Broad Street, Red Bank, NJ, 07701",https://www.goodlifeorganickitchen.com/,-74.0655405,40.350105,c6e84e10-f4ef-4911-b926-6d1fc214e0b7
76,Shopping,L Studio,31 Monmouth Street,Monmouth,Red Bank,Monmouth,"31 Monmouth Street, Red Bank, NJ, 07701",https://www.lstudionj.com/,-74.06690851,40.3494988,2cbc7233-a3e6-4c98-a0cb-770aa4c4805f
77,Food,JR’s Red Bank,17 West Front Street,Front,Red Bank,Monmouth,"17 West Front Street, Red Bank, NJ, 07701",https://jrsdelivers.com/,-74.065923,40.351923,a7d52dfd-1300-463c-b7c7-b966bc9bd018
78,Shopping,Lucki Clover,20 Broad Street,Broad,Red Bank,Monmouth,"20 Broad Street, Red Bank, NJ, 07701",https://luckiclover.shop/,-74.065635,40.351455,2d65c00d-3d23-4b73-ab66-422a4e2fcb81
79,Food,Monmouth Meats,112 Monmouth Street,Monmouth,Red Bank,Monmouth,"112 Monmouth Street, Red Bank, NJ, 07701",https://monmouthmeats.com/,-74.07067177,40.34924837,ce30402c-ed78-45d1-83b3-dc30c14d996f
80,Food,Molly Pitcher Inn,88 Riverside Avenue,Riverside,Red Bank,Monmouth,"88 Riverside Avenue, Red Bank, NJ, 07701",https://themollypitcher.com/,-74.0730645,40.352993999999995,e12a060c-f764-4768-beb6-0385044a374f
81,Shopping,Monmouth Street Emporium,27 Monmouth Street,Monmouth,Red Bank,Monmouth,"27 Monmouth Street, Red Bank, NJ, 07701",https://www.monmouthstreetemporium.com/,-74.0666115,40.349367,d266c69c-50de-424b-9ff8-2d8ffbc3c292
82,Food,Red Bank Chocolate Shoppe,17 White Street,White,Red Bank,Monmouth,"17 White Street, Red Bank, NJ, 07701",https://redbankchocolateshoppe.com/,-74.0661795,40.350491999999996,2b306169-3510-416f-9e9b-a6c1fcf71f96
83,Attraction,Red Bank Artisan Collective,43 Broad Street,Broad,Red Bank,Monmouth,"43 Broad Street, Red Bank, NJ, 07701",https://redbankartisancollective.com/,-74.0652075,40.350708,680df9bb-5de7-4cd0-ac6b-c69e7c8cb0fa
84,Food,Red Tank Brewing,77 Monmouth Street,Monmouth,Red Bank,Monmouth,"77 Monmouth Street, Red Bank, NJ, 07701",https://www.redtankbrewing.com/,-74.06889653,40.34930933,ddebe377-a161-480d-8347-b33c2c4396aa
85,Attraction,Red Bank Public Library,84 West Front Street,Front,Red Bank,Monmouth,"84 West Front Street, Red Bank, NJ, 07701",https://www.redbanklibrary.org/,-74.069091,40.35159,8d677d74-7c70-45c2-9ee4-140028eca648
86,Shopping,Sorella Bella Boutique,27 Monmouth Street,Monmouth,Red Bank,Monmouth,"27 Monmouth Street, Red Bank, NJ, 07701",https://sorellabellaboutique.com/,-74.0666115,40.349367,d990799f-202d-47d2-aa5e-f72f0bc79821
