OBJECTID,NAME,STATE,LAT,LONG_,MRC,CGI_10mDEM,Shape_Leng,Title,UTM,Shape.STArea(),Shape.STLength()
665,Kingston,MI,43.375,-83.125,43083-D2,no,48006.2602657,"Kingston, MI",17N,140490048.7750668,48006.260185754516
666,Kinross,MI,46.250,-84.500,46084-C5,no,47039.3029537,"Kinross, MI",16N,133744123.32871667,47039.30292065649
667,L'Anse,MI,46.750,-88.375,46088-G4,no,46859.908166,"L Anse, MI",16N,132500102.79205212,46859.90812513318
668,La Branche,MI,45.875,-87.375,45087-H4,no,47159.566793,"La Branche, MI",16N,134594494.32135257,47159.566676892784
669,Lachine,MI,45.000,-83.625,45083-A6,no,47469.1527262,"Lachine, MI",17N,136739697.42740598,47469.15277029383
670,Lacota,MI,42.375,-86.125,42086-D2,no,48332.5648737,"Lacota, MI",16N,142763113.7963997,48332.5649452633
671,Ladoga,MI,46.250,-87.000,46087-C1,no,47027.6427949,"Ladoga, MI",16N,133677825.47753568,47027.64289381137
672,Laingsburg,MI,42.875,-84.250,42084-H3,no,48159.8970862,"Laingsburg, MI",16N,141571548.46559957,48159.897017165444
673,Lake,MI,43.750,-85.000,43085-G1,no,47872.5935765,"Lake, MI",16N,139569775.2382012,47872.5934552418
674,Lake Ann,MI,44.625,-85.750,44085-F7,yes,47581.0364675,"Lake Ann, MI",16N,137537343.9315288,47581.03659706679
675,Lake Arrowhead,MI,44.875,-84.750,44084-H7,no,47499.6792881,"Lake Arrowhead, MI",16N,136966738.2858571,47499.6792844122
676,Lake City,MI,44.250,-85.125,44085-C2,no,47706.6701012,"Lake City, MI",16N,138413067.85898358,47706.670148680074
677,Lake Geneva,MI,45.125,-84.125,45084-B2,no,47421.5584744,"Lake Geneva, MI",16N,136414168.53234372,47421.558493821874
678,Lake George,MI,43.875,-84.875,43084-H8,no,47831.4348232,"Lake George, MI",16N,139282655.62277797,47831.434867163865
679,Lake Margrethe,MI,44.625,-84.750,44084-F7,no,47583.0692097,"Lake Margrethe, MI",16N,137549095.935123,47583.06937182548
680,Lake Mary,MI,46.000,-88.125,46088-A2,no,47122.02361,"Lake Mary, MI",16N,134325716.0692307,47122.023549722166
681,Lake Medora,MI,47.375,-87.875,47087-D8,no,46635.449431,"Lake Medora, MI",16N,130941345.17783256,46635.44949185593
682,Lake Mitigwaki,MI,46.250,-88.875,46088-C8,no,47042.5743275,"Lake Mitigwaki, MI",16N,133762726.41671558,47042.57438220105
683,Lake NE,MI,43.875,-85.000,43085-H1,no,47831.2659553,"Lake NE, MI",16N,139281670.77993786,47831.26586323378
684,Lake Odessa,MI,42.750,-85.125,42085-G2,no,48201.3509529,"Lake Odessa, MI",16N,141859474.8308536,48201.350888690176
685,Lake Orion,MI,42.750,-83.125,42083-G2,no,48206.8129149,"Lake Orion, MI",17N,141891627.55669028,48206.81302479135
686,Lake Richie,MI,48.000,-88.625,48088-A6,no,46415.5067765,"Lake Richie, MI",16N,129404761.57593994,46415.50682949556
687,Lake Richie OE S,MI,47.875,-88.625,47088-H6,no,46460.4035751,"Lake Richie OE S, MI",16N,129717428.42301102,46460.40352676551
688,Lake Stella,MI,46.125,-86.750,46086-B7,no,47070.4447195,"Lake Stella, MI",16N,133976821.76752666,47070.444750686045
689,Lake Winyah,MI,45.000,-83.500,45083-A5,no,47470.9008243,"Lake Winyah, MI",17N,136749770.81524223,47470.90076048552
690,Lakefield,MI,43.250,-84.250,43084-C3,no,48038.1071896,"Lakefield, MI",16N,140722198.74686944,48038.10727220159
691,Lakeport,MI,43.000,-82.375,43082-A4,no,48136.6068531,"Lakeport, MI",17N,141390201.866464,48136.6068184085
692,Lakeview,MI,43.375,-85.250,43085-D3,no,47996.6200615,"Lakeview, MI",16N,140433630.4688017,47996.620067131145
693,Lambertville East,MI,41.750,-83.500,41083-G5,no,48522.253701,"Lambertville East, MI",17N,144095572.4158882,48522.25358928241
694,Lambertville West,MI,41.750,-83.625,41083-G6,no,48521.8709905,"Lambertville West, MI",17N,144093299.45559293,48521.870929714954
695,Langston,MI,43.250,-85.125,43085-C2,no,48037.4787978,"Langston, MI",16N,140718518.43100515,48037.478728072485
696,Lansing North,MI,42.750,-84.500,42084-G5,no,48200.1092636,"Lansing North, MI",16N,141852163.9028119,48200.10919188752
697,Lansing South,MI,42.625,-84.500,42084-F5,no,48240.6196629,"Lansing South, MI",16N,142134419.8566388,48240.61980702933
698,Lapeer,MI,43.000,-83.250,43083-A3,no,48125.5451568,"Lapeer, MI",17N,141325226.7902348,48125.54517688844
699,Larks Lake,MI,45.500,-84.875,45084-E8,no,47289.1138969,"Larks Lake, MI",16N,135496530.57731476,47289.113848302644
700,Laughing Fish Point OE E,MI,46.500,-86.875,46086-E8,no,46940.5226883,"Laughing Fish Point OE E, MI",16N,133070827.04891989,46940.52274703394
701,Laurium,MI,47.125,-88.375,47088-B4,no,46726.8035066,"Laurium, MI",16N,131574042.49065068,46726.80343258627
