FID,UNITNAME,GISID,SUBTYPE,UNITNBR,Shape__Area,Shape__Length,GlobalID
8654,Morro Estuary NP,GIS0000326,SubUnit,974,5145804.926351547,13581.876552284457,1c9b405c-287a-4272-8b2b-9e10c3aad692
8655,Heron Rookery NP,GIS0000327,SubUnit,471,36061.76171875,828.0590216871631,f20c1235-b9f3-48bc-8776-654e3f369009
8656,Point Dume NP,GIS0000328,SubUnit,991,191907.70887684822,2088.159648108957,2bc7d403-6f18-40f8-b205-e201d8c890cb
8657,Tomo-Kahni SHP,GIS0000329,Cooperative Mgmt Area,368,53401.5390625,9424.139933298493,d42e0531-df73-4cfa-bcac-0ed7b5eeaa2a
8658,Morro Strand SB,GIS0000330,Park Unit or Property,442,1179867.37109375,14335.987218895048,337e9fbc-54ff-4715-bb40-94c4450c1bf7
8659,Morro Strand SB,GIS0000331,Properties not operated as CSP units,442,11239.0625,713.4509878628336,ed910d6e-cc10-4923-810e-e64bb398c42e
8660,Doane Valley NP,GIS0000332,SubUnit,675,2605630.76953125,7494.775826778226,097ba844-2207-4904-b4a0-92aaf1862fa0
8661,Palomar Mountain SP School Camp,GIS0000333,Properties not operated as CSP units,617,134987.48046875,1495.0870170453725,3ced281f-09c6-4854-a659-884981a2c652
8662,Sutter Buttes,GIS0000336,Cooperative Mgmt Area,132,38862.44921875,9893.858797658868,b0079654-2f9b-4e0e-ba25-4d9c5b0aced5
8663,Burton Creek SP,GIS0000337,Cooperative Mgmt Area,348,1115.8046875,187.23397369149856,29db89ae-167f-4361-a0a1-486672ab49f7
8664,Humboldt Lagoons SP,GIS0000338,Cooperative Mgmt Area,105,7370.81640625,854.4918728482871,f81af0a5-49e8-45ae-b84f-8363823b34f5
8665,Hearst San Simeon SHM,GIS0000339,Park Unit or Property,494,1228360.8238847256,28443.648220696014,99ccac2f-d444-4eee-9a2c-5ca28f40d98a
8666,Santa Rosa Creek NP,GIS0000340,SubUnit,978,213257.9577741623,2049.417964255199,62d57461-27ac-4aa8-8094-6b85058554fc
8667,Hearst San Simeon SP,GIS0000341,Cooperative Mgmt Area,487,3735207.765625,21861.542640684274,49e0a0b9-172e-43ce-b57a-77b222f38f48
8668,San Simeon NP,GIS0000342,SubUnit,979,1757044.329832077,9017.962427104594,c30bfaf8-0fca-4e3f-9245-ab98434cc9a5
8669,Hearst San Simeon SP,GIS0000343,Park Unit or Property,487,10511434.83203125,80882.38344550667,49a61550-1398-41bc-bacc-a94aec09069a
8670,Edwin L. Z'berg NP,GIS0000344,SubUnit,342,962596.73828125,4450.516597996381,6b4e3b76-0e78-46b1-b92b-c7afcc8d774b
8671,Angel Island SP,GIS0000345,Cooperative Mgmt Area,231,143153.99609375,6468.679924115433,5b268fe0-79ec-4b82-a190-896a7375dce2
8672,Trestles Wetlands NP,GIS0000346,SubUnit,923,446271.7297101021,3282.6218975781385,276ac7c9-6baa-4b03-b1fb-99077cf47961
8673,Pacifica SB,GIS0000347,Park Unit operated by other entity,230,142021.71484375,3256.9709998084636,d248e591-74c5-41d1-8d91-8da8288759d2
8674,Salinas River Mouth NP,GIS0000348,SubUnit,933,399484.94921875,3380.8497402739276,513c6027-046e-4171-bcdf-2f74c2ee3ea1
8675,Salinas River SB,GIS0000349,Park Unit or Property,451,1767912.671875,17656.21680942211,efb92347-7d67-48d3-943b-1f88457c4057
8676,Salinas River Dunes NP,GIS0000350,SubUnit,931,605970.828125,6662.299348308845,37421fa0-57f0-4f73-ac24-88a2be3d4708
8677,Mount Diablo SP,GIS0000351,Park Unit or Property,203,122621251.48046875,113003.31822014089,c1952fe9-8f55-4ec2-8075-f50fcaee7e99
8678,Kaslow NP,GIS0000354,SubUnit,903,11732570.23828125,18434.368946268565,23d750d8-2fbd-426d-b673-2662729adecf
8679,Liberty Canyon NP,GIS0000355,SubUnit,902,4772519.921875,15843.210394083211,5ab76a27-8a73-4574-83f4-c9e72975c899
8680,Udell Gorge NP,GIS0000356,SubUnit,907,1322765.80078125,6332.628191409015,bd2cbc52-679f-4c7d-9208-08614e70ed71
8681,Moore Creek Wetland NP,GIS0000357,SubUnit,976,94279.25,1710.4711039406882,825c2cec-448d-4b5f-8e55-4b7b824aced3
8682,Monarch Butterfly NP,GIS0000358,SubUnit,924,107371.70703125,1429.8291065601531,43e1312d-3d8d-4b6e-b522-9455ae0c6e4d
8683,La Jolla Valley NP,GIS0000359,SubUnit,571,7445564.23828125,14893.532328607009,f579b715-c035-44bd-bcf2-726304f3fb4d
8684,Fort Ord Dunes SP,GIS0000362,Park Unit or Property,476,5825517.1953125,19820.097922459605,e9d85aba-fb57-49ad-9904-8968e7aeff27
8685,We-Nelsch CP,GIS0000363,SubUnit,626,2504659.2109375,7415.802987723203,965a68ec-c6a3-415b-aae6-c981ffcb3b65
8686,Folsom Lake SRA - Nimbus Fish Hatchery,GIS0000364,Properties not operated as CSP units,318,477339.41796875,5174.464116793072,b6ffdef6-f1d2-44d9-b2cd-7a6d1a335b82
8687,Mormon Island Wetlands NP,GIS0000366,SubUnit,946,655437.7890625,4124.16389742434,0fcc4d60-7cf6-4cd3-83fe-de27370dfad5
8688,TSRA Outliers - Skylandia,GIS0000367,Properties not operated as CSP units,302,290889.98828125,4606.648116494715,7c787136-9e0d-4b6a-9b4e-a3007113b602
8689,Least Tern NP,GIS0000368,SubUnit,988,51661.19921875,911.4955888653928,40acbb9d-ca17-449d-93da-7998bb19a380
8690,Agua Caliente County Park (ABDSP),GIS0000369,Park Unit operated by other entity,622,3927031.64453125,11463.333067902116,009fc1a3-c3a0-48f1-9bbc-5cc3c1624ec3
8691,Tatavium CP,GIS0000370,SubUnit,968,3309653.2265625,13500.217605716178,2aa05328-1b37-4a69-ae83-aad5a3571610
8692,Hungry Valley Oak Woodland NP,GIS0000371,SubUnit,967,450226.2421875,3468.1859164538214,f5f804f1-774c-4992-8739-47146774c00f
8693,Santa Rosa Mountains SW,GIS0000372,SubUnit,627,795424488.7578125,275292.3841180758,035823a9-bc06-4110-a455-d5613cba3908
8694,FLSRA - Dam Operations Area,GIS0000373,Properties not operated as CSP units,318,1627700.6763091087,7261.407811852226,1ba723bf-3854-4a45-91c7-f3b4d482f596
8695,Mount San Jacinto SP,GIS0000374,Park Unit or Property,616,79902380.4609375,53936.92435300455,d60720bf-ac0f-4bfc-8341-e62472564ba3
8696,Mount San Jacinto SW,GIS0000375,SubUnit,619,72648692.265625,63690.71437234228,05c490bc-f3f6-4a42-96d1-a71b455c04f1
8697,Los Angeles SHP,GIS0000376,Park Unit or Property,578,189496.05848491192,2860.7035717021413,95140382-9064-48f0-887a-ec52eff0cc69
8698,Hidden Divide NP,GIS0000377,SubUnit,960,1487854.4140625,6384.5406661428715,524ce52f-27dd-40c2-9f76-0fb3d6a5cf3a
8699,Bidwell Mansion SHP ,GIS0000378,Cooperative Mgmt Area,139,621.6171875,103.20471515346166,5c07bc3b-f195-4921-855d-0669f96e9a50
8700,Manresa SB,GIS0000379,Park Unit or Property,416,918899.5859375,12988.581651263012,36f3e1c8-8da1-4ff3-a8a0-5882c4fb67f7
8701,Gorman CP,GIS0000380,SubUnit,919,1200387.65625,4958.5259270346305,3eeb83d2-83f3-43e3-894a-1abe95a054a3
8702,Franks Tract SRA,GIS0000381,Cooperative Mgmt Area,329,18885.6953125,2127.760512911359,b58b5073-b3b5-46e1-8eb8-41a950682fd5
8703,Fort Ross SHP,GIS0000382,Cooperative Mgmt Area,207,4945.96875,332.796798919662,5d08d912-d0f7-4491-b43a-2e183b89eace
8704,Freeman Canyon CP,GIS0000383,SubUnit,920,1449838.328125,5861.744855100691,3392cd34-2d6b-467d-811b-28806dd43020
8705,Sinkyone SW,GIS0000384,SubUnit,994,48724747.62109375,121047.24603124277,cf8d5f2e-fa8b-4243-9bcf-b7fba75a9dee
8706,Sunset Wetland NP,GIS0000385,SubUnit,939,277975.66015625,2955.4432977168376,3e4a5f62-8431-4f5a-bfc6-96f0b7baeab8
8707,Silver Strand NP,GIS0000386,SubUnit,921,233946.94140625,4312.816488275817,812c4889-7579-472c-be4d-edc25b4c849d
8708,Pismo Dunes NP,GIS0000387,SubUnit,459,4206867.3046875,11202.641000474077,7b46cc66-982a-46e7-988c-44720e1ab254
8709,Los Penasquitos Marsh NP,GIS0000388,SubUnit,640,1229504.00390625,10791.336671988047,6990bd70-40c3-4c8c-b8d3-994fef16088f
8710,Inglenook Fen-Ten Mile Dunes NP,GIS0000389,SubUnit,949,10357737.26953125,22303.430418780856,7c8a1ba3-af78-4c78-9df8-57e5273c6f85
8711,Arena Rock Marine NP,GIS0000390,SubUnit,930,3352471.5703125,8577.688737376808,187a7378-1e4a-43c4-9bf0-1f886fb583d3
8712,Van Damme SP,GIS0000394,Underwater Park,142,136858.33984375,1851.4192900289117,b87b8388-4433-4c13-8d1c-cde10c4b9dce
8713,Van Damme Pygmy Forest NP,GIS0000395,SubUnit,982,1274373.51171875,5739.707535111221,412d167b-1a04-4c8f-90f7-c6200e6aff0f
8714,Jug Handle SNR,GIS0000396,Cooperative Mgmt Area,154,117714.58203125,2095.231442071732,6d4618f1-1de5-4eb7-8a4d-17d3f19ce650
8715,Nicholas Flat NP,GIS0000397,SubUnit,983,3459740.015625,8736.215493129703,3e401697-50e4-4f62-aceb-a81f9b1e4c5c
8716,Lake Davis Wetlands and Coastal Dunes NP,GIS0000398,SubUnit,948,3363746.19921875,11646.054336510459,6b630c65-87dc-4655-8083-b37b73987635
8717,Brush Creek/Lagoon Lake Wetlands and Coastal Dunes NP,GIS0000399,SubUnit,947,4385174.38671875,19295.142924226235,af20968a-e464-404e-95f9-d37e56db3a2f
8718,Harmony Headlands SP,GIS0000400,Park Unit or Property,745,4513144.8203125,10644.192490917307,5a0d3dac-40cb-4fb6-9f42-758bb272ee12
